# Residuals             
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
1                       	smoothSolver	9.9999894260861510e-01	2.6914673785146739e-05	4	1.7065225037458491e-02	8.0459708353892141e-06	4	9.7451072426190821e-01	3.0631896194337237e-04	4	0	smoothSolver	9.9999999535050699e-01	2.1783924073249619e-04	4	1	GAMG	1.0000000000000000e+00	5.3944723479952160e-04	6	1	smoothSolver	1.4863733034277130e-02	1.0361063251007901e-05	4	1
2                       	smoothSolver	9.2499280303164944e-01	7.4986452756811380e-04	4	7.9299217528549115e-01	3.0462688128616032e-04	4	8.6532163747644819e-01	2.9814826295359112e-04	4	0	smoothSolver	3.8728514497182293e-01	5.0357829151908617e-05	4	1	GAMG	3.3729704715180282e-02	3.1801600655748287e-05	5	1	smoothSolver	1.1780676224480259e-03	2.8772078333216643e-07	4	1
3                       	smoothSolver	2.0649707052326091e-01	1.0513449577478819e-04	4	6.4302218369742636e-01	1.7201017524874309e-04	4	4.5015330066301462e-01	7.9927602288585808e-05	4	0	smoothSolver	2.5015689381930989e-01	8.6809935153941895e-06	4	1	GAMG	1.7099695027967821e-02	8.9059136973594602e-06	6	1	smoothSolver	2.2334108137232961e-03	1.7565623472752440e-07	4	1
4                       	smoothSolver	1.1473579933806130e-01	2.5355798268623570e-05	4	4.3047800781454287e-01	6.8671008865634267e-05	4	1.5628372876331831e-01	7.7244436413363554e-06	4	0	smoothSolver	1.7537363348191920e-01	5.5682666922135478e-05	4	1	GAMG	3.9470191561329568e-02	1.4793913337027381e-05	6	1	smoothSolver	4.0189538342094632e-03	3.4549817890004191e-06	4	1
5                       	smoothSolver	1.0823065113470060e-01	2.2355599415964461e-05	6	2.1926113821121371e-01	3.3066775471465238e-05	6	9.7831760277599752e-02	7.6621499243049134e-05	4	0	smoothSolver	1.3668019876266341e-01	2.4663494782310640e-05	4	1	GAMG	1.8047040002390571e-01	9.1542713354957338e-05	6	1	smoothSolver	5.4495459987159581e-03	1.8345820721854760e-06	4	1
6                       	smoothSolver	6.6756708743995294e-02	6.6830180077945923e-06	6	1.2771902287547299e-01	2.8035984278951629e-05	6	1.2835038899443160e-01	1.3393884123485989e-05	6	0	smoothSolver	1.2130871915772880e-01	3.8525413182184513e-05	4	1	GAMG	2.6055866408352829e-01	1.7592482301680349e-04	5	1	smoothSolver	1.0642655469958790e-02	5.0778597582670661e-06	4	1
7                       	smoothSolver	1.6192588183851889e-01	1.7926063437844761e-05	6	3.1416759942249162e-01	5.6890437850335252e-05	6	2.4395015186896180e-01	3.1573323526006458e-05	6	0	smoothSolver	1.2772949970091901e-01	1.0027531338796710e-04	4	1	GAMG	1.1728665029549420e-01	5.7398532226356982e-05	5	1	smoothSolver	2.2755377467130560e-02	1.5905346027233852e-05	4	1
8                       	smoothSolver	1.8955110659601010e-01	3.2357801094197002e-05	6	2.6730342527197071e-01	4.6426907400087752e-05	6	1.7127826968767601e-01	2.9438376054418161e-05	6	0	smoothSolver	1.2910108646029569e-01	8.5815395078406084e-05	4	1	GAMG	1.7229318241093869e-01	7.7047463493141080e-05	5	1	smoothSolver	3.9899561309549511e-02	2.1073153330965461e-05	4	1
9                       	smoothSolver	9.4246262670127964e-02	1.8281324036576969e-05	6	1.9136686555669291e-01	3.4631236620141003e-05	6	1.2029899839199180e-01	1.4137969592398490e-05	6	0	smoothSolver	1.3144268965051659e-01	1.3066505471862129e-04	4	1	GAMG	3.2116961634719188e-01	1.5227595520511989e-04	5	1	smoothSolver	4.8228696651651408e-02	4.4096184051959138e-05	4	1
10                      	smoothSolver	6.1408906652917088e-02	1.0314215121514619e-05	6	2.9417467622407262e-01	6.0939977837961563e-05	6	1.8452825341080631e-01	2.8670566797483559e-05	6	0	smoothSolver	1.5620098297900550e-01	1.3948981792013960e-04	4	1	GAMG	4.4248982375398638e-01	1.8813224547861750e-04	5	1	smoothSolver	6.3664527891849371e-02	5.1134570203888448e-05	4	1
