# Residuals             
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
1                       	smoothSolver	9.9999996912715849e-01	4.0783888236737918e-05	4	1.0609082614588050e-01	8.0778472304366188e-06	4	9.9991358793523732e-01	1.7417464323415301e-04	4	0	smoothSolver	9.9999999999945155e-01	8.1905880872422973e-05	4	1	GAMG	1.0000000000000000e+00	7.5027805761529920e-04	5	1	smoothSolver	1.2912856802194700e-02	3.0219232078095541e-06	4	1
2                       	smoothSolver	5.8456648738524120e-01	4.1098230078522462e-05	4	4.3773767352865001e-01	1.0440120232633040e-05	4	4.2767425511047641e-01	7.0642417018019568e-06	4	0	smoothSolver	3.5202592763745011e-01	7.0812813017696854e-06	4	1	GAMG	2.0373902347438880e-01	2.2566283679567139e-05	4	1	smoothSolver	3.1918493633235579e-03	4.2270233631250588e-08	4	1
3                       	smoothSolver	6.5779654765872586e-01	8.2938627694414577e-06	4	3.7277167661294919e-01	1.7216770301760000e-06	4	2.0392675789290871e-01	1.1640420588346650e-04	2	0	smoothSolver	1.3387261544886020e-01	8.8564720414247503e-07	4	1	GAMG	1.0784730944910220e-01	8.6657162747213960e-05	4	1	smoothSolver	1.9786612026776681e-03	1.6659956525693630e-06	2	1
4                       	smoothSolver	6.8379525363897753e-01	2.6792558517877021e-04	2	1.9583745119335061e-01	8.0684227519262642e-05	2	1.3971991190665470e-01	3.6616498615517137e-05	2	0	smoothSolver	5.0428761954858507e-02	1.5884645739957209e-05	2	1	GAMG	6.1151016619760273e-02	1.7467075816372959e-05	5	1	smoothSolver	1.4828242020145110e-03	1.1865073637775790e-07	2	1
5                       	smoothSolver	7.1639851295812806e-01	2.5290974264166442e-04	2	1.6268505083025489e-01	4.4457028152553603e-05	2	9.7695306585178207e-02	1.5063367907678790e-05	2	0	smoothSolver	8.2640588603606943e-02	1.3169528408963511e-05	2	1	GAMG	8.7948996785051470e-02	1.7083005716237880e-05	4	1	smoothSolver	1.6480182807901930e-03	9.0485029956291428e-08	2	1
6                       	smoothSolver	6.5085117006033322e-01	2.8237929305717789e-04	2	1.4945052652618090e-01	4.0085978764892078e-05	2	1.1909757310673920e-01	3.5908703985044537e-05	2	0	smoothSolver	6.8051869454523226e-02	1.1030087211476960e-05	2	1	GAMG	1.6424926605283041e-01	5.0043225215947008e-05	4	1	smoothSolver	1.0466991794689511e-03	1.3898976266624389e-07	2	1
7                       	smoothSolver	3.4704332863231108e-01	1.4198467738634491e-04	2	1.2833802006135561e-01	2.9874096089308760e-05	2	1.5951403277858611e-01	4.7605049351904828e-05	2	0	smoothSolver	6.1631523608511582e-02	8.8399609116643672e-06	2	1	GAMG	2.4804288246860379e-01	1.0916197741776660e-04	4	1	smoothSolver	7.8450753685059907e-04	8.6371239712153492e-08	2	1
8                       	smoothSolver	1.6432292530084691e-01	3.8162457860033482e-05	2	9.2931303027205633e-02	2.3290621271898831e-05	2	1.8964723177633969e-01	6.4750604036297436e-05	2	0	smoothSolver	5.7439437755000003e-02	8.3503124722680053e-06	2	1	GAMG	5.6290201045978849e-01	2.6154671213482028e-04	4	1	smoothSolver	8.4473873977922989e-04	7.0809680438764775e-08	2	1
9                       	smoothSolver	4.0978968767594409e-01	1.9762984617403449e-04	2	5.2934498286183969e-02	1.8049949665012630e-05	2	1.9522588168237370e-01	1.2192905849367590e-04	2	0	smoothSolver	5.7186920003032118e-02	1.0310162580335070e-05	2	1	GAMG	2.4408093876162559e-01	6.6071905903598987e-05	4	1	smoothSolver	7.2658091309786771e-04	7.0529842948470588e-08	2	1
10                      	smoothSolver	5.4811275789999003e-01	4.5082746744770321e-04	2	4.1296304295065672e-02	1.4582826748388241e-05	2	1.6222561086986320e-01	2.5387291778920313e-07	4	0	smoothSolver	4.5583408690669951e-02	1.2755775118016661e-05	2	1	GAMG	1.8468613708054199e-01	1.1268713847102020e-04	3	1	smoothSolver	6.6000054608820970e-04	2.4278952439833518e-07	2	1
